id,rawContent,date,username,likeCount,retweetCount,replyCount,quoteCount,viewCount,lang,hashtags,url
488472604643037186,Report: FIFA &amp; Adidas discuss why Lionel Messi was chosen for the FIFA World Cup 2014 Golden Ball. http://t.co/VTQyE2rPTL,2014-07-13T23:58:38+00:00,TheCristianoFan,12,19,3,,,en,,
488470944596250626,Congratulations to Sami Khedira for winning the FIFA World Cup 2014. #GER http://t.co/DZHclEyz2d,2014-07-13T23:52:03+00:00,TheCristianoFan,22,22,1,,,en,,
488470807467667459,VIDEO - World Cup 2014 - Match Of The Day Pundits Reaction/Analysis Of World Cup Final = http://t.co/v3zHcWwSy7,2014-07-13T23:51:30+00:00,BeanymanSports,8,1,0,,,en,,
488468937235918848,Congrulations For Germany the Winner FIFA World Cup 2014. Bravo Germany http://t.co/WHBbERAGJi,2014-07-13T23:44:04+00:00,Spirit_History,6,0,1,,,en,,
488468660160589825,"★ OVERALL WORLD CUP 2014 RESULTS ★

#Bets: 133 / #Staked: 302pt's

#Profit: +83.8pt's ✅

#ROI: +27.8% ✅

JOIN ➡ http://t.co/dUp7iSpQC3",2014-07-13T23:42:58+00:00,FootballTipsNL,2,1,0,,,en,,
488468602497294337,Presser over. And that's it. World Cup 2014 is done. Hope you enjoyed @SuperSportTV and @Citi973 coverage. And mine too!,2014-07-13T23:42:44+00:00,garyalsmith,5,5,13,,,en,,
488468298351140865,#Fifa World Cup 2014. finally germany won.. And Fifa Finished.! :-(,2014-07-13T23:41:32+00:00,i_karanshah,2,0,0,,,en,,
488467500477083649,OMG... A Twitter account named FIFA Corruption claimed 17 hours ago that FIFA World Cup 2014 final was fixed. http://t.co/9TKODcxP3t,2014-07-13T23:38:22+00:00,CaptivatingKhan,1,0,0,,,en,,
488467112927567872,So yea I'm late but I called this              World Cup 2014 #GermanyCampeonBrasil2014,2014-07-13T23:36:49+00:00,Sarahh_Mac16,2,0,0,,,en,,
488465939089076224,Congrats #Germany on winning the World Cup 2014! #WorldCupFinal #GERvsARG #WorldCup2014 #iAmGermanToo!🇩🇪😍😘✌️❤️💛 http://t.co/qcJi2UZoTp,2014-07-13T23:32:09+00:00,OfficialKimora,155,148,5,,,en,,
488464399070269440,@Blackheart343 yes Germany wins the world cup 2014 I made this photo I hope you love it http://t.co/xaVaX5D6Ir,2014-07-13T23:26:02+00:00,Al_Nasser_Q8,1,0,0,,,en,,
488464311757864961,World Cup 2014... #WorldCup http://t.co/13pzn9V7cp,2014-07-13T23:25:41+00:00,SkillTwins,113,121,5,,,en,,
488463420639813632,James Rodriguez wins World Cup 2014 Golden Boot http://t.co/4YU3nDLo94,2014-07-13T23:22:09+00:00,GenreLatino,1,0,0,,,en,,
488461136904617985,World Cup 2014: Germany become world champions after beating Argentina 1-0 in extra time http://t.co/qhCHeCAAzO,2014-07-13T23:13:04+00:00,HaitiNewsNet,0,0,0,,,en,,
488461017014206464,World Cup 2014: Lionel Messi suffers humiliation of walking past World Cup trophy TWICE after being crowned pl... http://t.co/Uvcjrneusf,2014-07-13T23:12:36+00:00,IndySport,1,1,0,,,en,,
488460981471678464,Great game! Congrats Germany!! Champion of World Cup 2014!,2014-07-13T23:12:27+00:00,grandindo,2,6,0,,,en,,
488459802092515328,Congratulations to Sami Khedira on winning the World Cup 2014 with Germany! #WorldCupFinal #GERvsARG #Worlcup2014 http://t.co/QPzbuHeFwv,2014-07-13T23:07:46+00:00,realmadriden,1720,2230,44,,,en,,
488459717237161984,And germany have won the fifa world cup 2014 #WorldCup2014  #germanyforworldcup2014,2014-07-13T23:07:26+00:00,Matkins22Atkins,2,0,0,,,en,,
488459484894068736,"World Cup 2014: Germany Defeats Argentina in Championship 1-0, Stars React http://t.co/Kn1ZogEtIu",2014-07-13T23:06:30+00:00,billboard,76,85,0,,,en,,
488459337807822849,"RT @IBNLiveSports: World Cup 2014: Germany's triumph result of team work, says Philipp Lahm http://t.co/SstqguVhdn #WorldsCup",2014-07-13T23:05:55+00:00,CNNnews18,5,3,0,,,en,,
488458985985814528,"World Cup 2014 Awards:

Golden Ball - Messi
Golden Glove - Nueur
Young Player - Pogba
Golden Boot - J.Rodriguez
FairPlay - Colombia",2014-07-13T23:04:32+00:00,BusbyBulletin,83,269,16,,,en,,
488458932768092160,German win world cup 2014,2014-07-13T23:04:19+00:00,dickfast1,22,0,0,,,en,,
488458623316946945,World Cup 2014: Germany Defeats Argentina in Final http://t.co/9Tdt0FFPjk,2014-07-13T23:03:05+00:00,NYTSports,1,3,1,,,en,,
488458562234904576,Congrulations For Germany the Winner FIFA World Cup 2014. Bravo Germany http://t.co/pzv7qSEtlG,2014-07-13T23:02:51+00:00,Report_Nature,3,2,1,,,en,,
488458364624834560,Messi wins World Cup 2014 Golden Ball - The Barcelona ace finished on the losing side in Sunday's tournament decid... http://t.co/X2LIJtyiIO,2014-07-13T23:02:03+00:00,HaitiNewsNet,0,0,0,,,en,,
488457975225266176,James Rodriguez wins World Cup 2014 Golden Boot http://t.co/LXtGEOB0Tw,2014-07-13T23:00:31+00:00,BusinessDayNg,0,0,0,,,en,,
488457954694148096,James Rodriguez wins World Cup 2014 Golden Boot http://t.co/IFZHnG1TOZ,2014-07-13T23:00:26+00:00,BusinessDayNg,0,0,0,,,en,,
488457895986868225,Messi wins World Cup 2014 Golden Ball http://t.co/Y26Ae7duRP,2014-07-13T23:00:12+00:00,BusinessDayNg,0,0,0,,,en,,
488457874960437248,Messi wins World Cup 2014 Golden Ball http://t.co/MdiC3egjLU,2014-07-13T23:00:07+00:00,BusinessDayNg,0,0,0,,,en,,
488457419509350400,Who was this popular pitch invader at the FIFA World Cup 2014 final? http://t.co/VhFUr7H0DL #WorldCup,2014-07-13T22:58:18+00:00,Sportskeeda,0,1,0,,,en,,
488457331899117569,"The Golden Ball winner,Leo Messi during the World Cup 2014: http://t.co/isn81FiKxo",2014-07-13T22:57:57+00:00,Barcelona_HD,9,12,1,,,en,,
488456897092411392,Berlin fans watch Germany v. Argentina in World Cup 2014 final http://t.co/0GSyNgr9va,2014-07-13T22:56:14+00:00,DollarVigilante,0,0,0,,,en,,
488456780129640450,"OK guys after #Germany wins the Fifa world cup 2014 tonight U come back to Ur favourite n national game #Loadshedding 
#pakistan",2014-07-13T22:55:46+00:00,ammarmasood3,11,4,1,,,en,,
488456640362864641,World Cup 2014: Germany beat Argentina 1-0 to win their fourth title. First European team to win in South American soil.,2014-07-13T22:55:12+00:00,JAMMULINKS,0,0,0,,,en,,
488456320710754305,RT @IBNLiveSports: World Cup 2014: Lionel Messi squanders chance to join the greats http://t.co/ywFquMksVT #WorldsCup #Messi,2014-07-13T22:53:56+00:00,CNNnews18,2,5,3,,,en,,
488456080100716545,World Cup 2014: Germany Defeats Argentina in Final http://t.co/kjLkiQLLXJ,2014-07-13T22:52:59+00:00,nytimes,162,157,14,,,en,,
488454472947863552,World Cup 2014 Final: Five Moments Where Germany Trumped Argentina for Title Win http://t.co/y9WNwPFxsA,2014-07-13T22:46:36+00:00,ndtvfeed,0,0,0,,,en,,
488454429276778496,James Rodriguez wins World Cup 2014 Golden Boot http://t.co/jSjzSvyoNS,2014-07-13T22:46:25+00:00,TheGhanaWeb,0,0,0,,,en,,
488454424482693120,RT @IBNLiveSports: World Cup 2014: Argentina's Sabella sad but proud of team http://t.co/7iG1BMgmZK #worldscup,2014-07-13T22:46:24+00:00,CNNnews18,1,4,1,,,en,,
488453069479215104,"RT @IBNLiveSports: World Cup 2014: Manuel Neuer wins Golden Glove, Pogba best young player http://t.co/JjHmfme32y #WorldsCup #Neur",2014-07-13T22:41:01+00:00,CNNnews18,6,7,0,,,en,,
488452960389963776,Messi wins #GoldenBall following inspirational performances for Argentina at World Cup 2014. #GERARG #WorldCup http://t.co/jqa0nm0wL2,2014-07-13T22:40:35+00:00,dailystarnews,1,0,0,,,en,,
488452650694742016,"RT @IBNLiveSports: World Cup 2014: Team spirit behind World Cup win, says Neuer http://t.co/ryNJm4292S #worldscup",2014-07-13T22:39:21+00:00,CNNnews18,5,4,0,,,en,,
